"year" "month" "day" "dailyLikes" "dailyReplies" "dailyRetweets"
"1" "2017" "08" "29" 4900 165 677
"2" "2017" "09" "28" 69400 3711 24700
"3" "2017" "10" "02" 7000 408 2100
"4" "2017" "10" "03" 24000 1100 3500
"5" "2017" "10" "04" 15000 784 2600
"6" "2017" "10" "06" 72000 2805 14100
"7" "2017" "10" "08" 37600 1185 5800
"8" "2017" "10" "09" 60900 1953 11567
"9" "2017" "10" "11" 35900 1385 5818
"10" "2017" "10" "14" 14000 778 1900
"11" "2017" "10" "15" 8600 400 1400
"12" "2017" "10" "16" 17000 450 4200
"13" "2017" "10" "17" 23000 1000 3400
"14" "2017" "10" "18" 61400 2412 8400
"15" "2017" "10" "19" 119000 2775 16666
"16" "2017" "10" "23" 23000 1800 6600
"17" "2017" "10" "24" 43000 1300 15000
"18" "2017" "10" "25" 20000 1000 5000
"19" "2017" "10" "26" 63000 2766 5309
"20" "2017" "10" "28" 60000 2400 8600
"21" "2017" "10" "30" 9600 496 1700
"22" "2017" "11" "08" 115000 2100 29000
"23" "2017" "11" "09" 264000 3952 98700
"24" "2017" "11" "11" 46000 1000 3200
"25" "2017" "11" "12" 120000 2900 27000
"26" "2017" "11" "14" 22000 643 5800
"27" "2017" "11" "15" 91000 2962 15873
"28" "2017" "11" "16" 581000 12100 142000
"29" "2017" "11" "18" 60000 2600 8300
"30" "2017" "11" "19" 37000 1500 6800
"31" "2017" "11" "21" 15000 688 1500
"32" "2017" "11" "22" 41000 1200 7900
"33" "2017" "11" "25" 7900 437 393
"34" "2017" "11" "26" 300000 7400 96000
"35" "2017" "11" "27" 97000 1465 19100
"36" "2017" "11" "28" 97000 4400 29000
"37" "2017" "11" "29" 50000 1557 8700
"38" "2017" "11" "30" 19900 1038 4400
"39" "2017" "12" "01" 131000 5346 26100
"40" "2017" "12" "03" 83000 5720 10975
"41" "2017" "12" "07" 29000 1000 4400
"42" "2017" "12" "10" 128000 3481 13000
"43" "2017" "12" "11" 16000 523 3000
"44" "2017" "12" "12" 26000 2700 2200
"45" "2017" "12" "13" 72000 2100 15000
"46" "2017" "12" "14" 23000 1500 1700
"47" "2017" "12" "15" 48000 2669 6042
"48" "2017" "12" "17" 7600 206 1982
"49" "2017" "12" "19" 99000 1390 14600
"50" "2017" "12" "20" 190000 4496 36000
"51" "2017" "12" "21" 214000 7223 39100
"52" "2017" "12" "22" 341000 7661 103400
"53" "2017" "12" "23" 484000 15895 75600
"54" "2017" "12" "24" 81000 2300 8100
"55" "2017" "12" "26" 141000 16000 14000
"56" "2018" "01" "02" 91000 4336 15000
"57" "2018" "01" "03" 19000 755 2600
"58" "2018" "01" "04" 156000 3808 28600
"59" "2018" "01" "06" 190000 4700 18000
"60" "2018" "01" "07" 36000 947 5200
"61" "2018" "01" "08" 22000 845 3300
"62" "2018" "01" "14" 5200 225 2000
"63" "2018" "01" "15" 6500 303 1300
