time,minute_time,text,replies,retweets,likes,sec,Date,Open,Close,Volume,Date.1
2018-05-07,2018-05-07 15:25:00,Rococo basilisk,1300,1500,16000,0 days 00:00:41.000000000,2018-05-07 15:25:00,299.76,299.526,8755,5/7/18 15:25
2018-05-07,2018-05-07 15:37:00,https://en.m.wikipedia.org/wiki/Rococo ,369,227,4400,0 days 00:00:58.000000000,2018-05-07 15:37:00,303.587,303.44,44009,5/7/18 15:37
2018-05-07,2018-05-07 15:46:00,Targeting Falcon 9 Block 5 launch of Bangabandhu Satellite-1 on May 10 from Pad 39A in Florida.,523,2200,16000,0 days 00:00:34.000000000,2018-05-07 15:46:00,302.656,302.43,17586,5/7/18 15:46
2018-05-09,2018-05-09 13:18:00,"Night at the museum. G has mad skillzsz. Me not so much.
https://instagram.com/p/BiiAeCdhz8X/ ",848,1200,17000,0 days 00:00:05.000000000,2018-05-09 13:18:00,301.19,300.944,10108,5/9/18 13:18
2018-05-10,2018-05-10 13:39:00,"Falcon 9 Block 5 and Bangabandhu Satellite-1 went vertical on Pad 39A in Florida this morning. Now targeting liftoff at 4:42 p.m. EDT, 20:42 UTC – vehicle and payload look good, completing final check outs at the pad. http://spacex.com/webcast pic.twitter.com/ML81qpl76g",325,2600,13000,0 days 00:00:17.000000000,2018-05-10 13:39:00,308.4,308.42,5620,5/10/18 13:39
2018-05-14,2018-05-14 13:40:00,140 Tesla Powerpacks now live in Belgium and balancing the European electrical grid 100 times faster than fossil fuel plantspic.twitter.com/f8XzCYgrJZ,392,5000,26000,0 days 00:00:59.000000000,2018-05-14 13:40:00,296.55,296.226,10559,5/14/18 13:40
2018-05-17,2018-05-17 14:26:00,lol https://www.instagram.com/p/Bi43eF1DsLt/?utm_source=ig_twitter_share&igshid=10y0vgjxgnq69 …,822,1100,12000,0 days 00:00:51.000000000,2018-05-17 14:26:00,284.36,284.52,14227,5/17/18 14:26
2018-05-18,2018-05-18 14:44:00,"Commercial Crew astronaut Suni Williams wearing a #SpaceX spacesuit while training with a mock-up of the Crew Dragon in Hawthorne, California

: NASA, April 3, 2018pic.twitter.com/mnj3hvovsq",220,2100,15000,0 days 00:00:36.000000000,2018-05-18 14:44:00,276.0,276.28,5614,5/18/18 14:44
2018-05-22,2018-05-22 12:07:00,"ICYMI: here’s another 5 minutes of @MorganLBrennan exclusive interview with @SpaceX president & COO Gwynne Shotwell, talking @elonmusk, $TSLA relationship, BFR and a LOT more:https://cnb.cx/2KJhuMO ",69,319,2500,0 days 00:00:35.000000000,2018-05-22 12:07:00,276.67,276.78,4050,5/22/18 12:07
2018-05-22,2018-05-22 14:07:00,"We’re going to include some fun games as hidden Easter eggs in Tesla S, X & 3. What do you think would be most fun in a car using the center touch screen?",15000,2800,43000,0 days 00:00:07.000000000,2018-05-22 14:07:00,274.934,274.44,53665,5/22/18 14:07
2018-05-23,2018-05-23 14:25:00,"The holier-than-thou hypocrisy of big media companies who lay claim to the truth, but publish only enough to sugarcoat the lie, is why the public no longer respects themhttps://twitter.com/electrekco/status/999318852365303808 …
Tesla (TSLA) could rally as media negativity is ‘increasingly immaterial’, says Baird http://electrek.co/2018/05/23/tesla-tsla-rally-media-negativity-increasingly-immaterial-baird/ … by @fredericlambert pic.twitter.com/ydQ76TT1lF",2100,13000,52000,0 days 00:00:21.000000000,2018-05-23 14:25:00,277.26,277.578,14389,5/23/18 14:25
2018-05-23,2018-05-23 15:16:00,"Not only needs to be botproof, but seek & unmask anyone operating a disinformation bot army",605,1100,16000,0 days 00:00:07.000000000,2018-05-23 15:16:00,277.21,277.12,8946,5/23/18 15:16
