"time,text,replies,retweets,likes"
"2016-11-10,Tesla shares downshift into uncertainty after Republican sweep http://cnb.cx/2fV8zgK ,4,10,8"
"2016-11-10,Cramer explains why investors are in love with Tesla http://cnb.cx/2fGj6cf  via @madmoneyoncnbc,3,8,12"
"2016-11-12,""Elon Musk: Robots will take your jobs, government will have to pay your wage http://cnb.cx/2ePUTBi  via @cnbcmakeit"",30,55,56"
"2016-11-16,Tesla's ludicrously fast car may get more punch http://cnb.cx/2fZVDDg ,1,9,26"
"2016-11-16,How billionaire tech mogul Elon Musk got his start http://cnb.cx/2g3cUxT  via @cnbcmakeit,1,16,17"
"2016-11-17,BREAKING: Tesla's acquisition of SolarCity overwhelmingly approved. $TSLA $SCTY,1,58,45"
"2016-11-17,Tesla and SolarCity shareholders vote on merger today http://cnb.cx/2g2JzB0 ,0,10,7"
"2016-11-19,How billionaire tech mogul Elon Musk got his start http://cnb.cx/2g2AdU7  via @cnbcmakeit,3,12,19"
"2016-11-21,""JUST IN: Tesla's acquisition of SolarCity has closed, as of this morning. $TSLA"",4,33,29"
"2016-11-21,Musk got what he wanted in Tesla-SolarCity deal — now comes the hard part http://cnb.cx/2fUpbRB ,0,10,6"
"2016-11-22,Tesla powers a whole island with solar to show off its energy chops http://cnb.cx/2g08dBz ,3,25,37"
"2016-11-22,Elon Musk claims Tesla’s solar roof will be cheaper than a regular one http://cnb.cx/2fZnD99  via @cnbcmakeit,5,37,45"
"2016-11-28,Video says car dealers 'under attack' from Tesla http://cnb.cx/2gznWKT ,1,6,13"
"2016-11-29,This 'self-driving' 1956 concept car shows how far Tesla has advanced autonomous driving http://cnb.cx/2g2jvF3 ,1,10,10"
"2016-11-29,SEC slaps Tesla's wrist over 'tailored' accounting practices http://cnb.cx/2gCYMv0 ,1,5,5"
"2016-12-01,Elon Musk may have a new partner in his mission to colonize Mars http://cnb.cx/2gIZ834  via @cnbctech,5,17,17"
"2016-12-03,Watch your back Elon Musk! Lucid Motors is trying to challenge Tesla's market lead http://cnb.cx/2glOU5n ,4,16,17"
"2016-12-06,""Want to bring back jobs, President-elect? Call Elon Musk http://cnb.cx/2h2o5Xo "",4,13,36"
"2016-12-06,Tech billionaire Elon Musk tops 2016 list of startup founders’ favorite founders http://cnb.cx/2h3c3gp  via @cnbcmakeit,1,21,28"
"2016-12-07,Tesla recalls charging adapters after overheating http://cnb.cx/2h6Z79i ,1,8,9"
