Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,325.67,326.67,322,322.034,642984,0
2017-11-17,15:40:00,322.45,323.19,320.22,321.43,414726,0
2017-11-17,15:45:00,321.3281,323.12,320.84,322.75,278573,0
2017-11-17,15:50:00,322.7989,322.88,319.19,320.82,315522,0
2017-11-17,15:55:00,320.81,322.25,320.2,321.36,156628,0
2017-11-17,16:00:00,321.64,322.09,319.57,319.8599,207009,0
2017-11-17,16:05:00,319.82,320.35,318.205,318.5567,344824,0
2017-11-17,16:10:00,318.5619,319.2,317.69,319.0659,259537,0
2017-11-17,16:15:00,319.15,319.9779,318.84,318.954,174873,0
2017-11-17,16:20:00,318.93,319.92,318.55,318.7672,140017,0
2017-11-17,16:25:00,318.7,318.7,316,317.632,283417,0
2017-11-17,16:30:00,317.6179,317.7,316.4,316.5,154974,0
2017-11-17,16:35:00,316.5861,316.99,314.83,315.708,243610,0
2017-11-17,16:40:00,315.675,316.14,313.89,314.084,233058,0
2017-11-17,16:45:00,314.075,316.2295,314.0175,315.4589,218347,0
2017-11-17,16:50:00,315.45,315.94,313.15,313.779,166801,0
2017-11-17,16:55:00,313.8,314.82,313.66,314.4066,160368,0
2017-11-17,17:00:00,314.3838,315.12,314.24,314.8,111584,0
2017-11-17,17:05:00,314.8,320.01,314.72,318.445,649706,0
2017-11-17,17:10:00,318.21,321.11,317.36,318.001,469502,0
2017-11-17,17:15:00,318.1961,318.49,316,317.73,275316,0
2017-11-17,17:20:00,317.8856,318.3,316.3287,317.3573,138305,0
2017-11-17,17:25:00,317.39,319,316.88,318.365,176345,0
2017-11-17,17:30:00,318.42,319.32,317.73,317.74,141686,0
2017-11-17,17:35:00,317.8256,317.88,317.0003,317.5182,76183,0
2017-11-17,17:40:00,317.52,317.5245,315.75,316.735,199762,0
2017-11-17,17:45:00,316.8499,317.9,316.5,317.3522,105612,0
2017-11-17,17:50:00,317.2747,317.6,315.77,316.06,120261,0
2017-11-17,17:55:00,316.3,316.71,315,316.05,167016,0
2017-11-17,18:00:00,316.28,316.8,315.81,316.69,75206,0
2017-11-17,18:05:00,316.5581,316.69,315.5,315.555,65319,0
2017-11-17,18:10:00,315.6414,316.74,315.64,316.2355,55606,0
2017-11-17,18:15:00,316.32,316.41,315.7,315.77,42240,0
2017-11-17,18:20:00,315.7665,316.03,315.2,315.21,66528,0
2017-11-17,18:25:00,315.225,315.64,315.14,315.51,59394,0
2017-11-17,18:30:00,315.54,316.11,315.18,315.41,68419,0
2017-11-17,18:35:00,315.4682,315.47,314.6,314.6803,87071,0
2017-11-17,18:40:00,314.62,315.1,314.4,314.61,91432,0
2017-11-17,18:45:00,314.6225,315.433,314.56,314.96,62575,0
2017-11-17,18:50:00,314.9,314.96,314.5501,314.84,43676,0
