Dates,Open,Close,High,Low,Value,Volume,Number Ticks
#NAME?,278.75,279.49,279.78,278.5,19893200,71325,128
4/26/18 9:31,279.78,279.01,279.78,278.81,3960814.75,14188,69
4/26/18 9:32,279.06,279.64,279.89,278.82,3332263.5,11930,68
4/26/18 9:33,279.57,278.62,279.85,278.01,6778285.5,24287,125
4/26/18 9:34,278.62,278.94,279.36,278.31,3614755.5,12963,84
4/26/18 9:35,278.879,278.703,279.11,278.52,3311734.75,11878,69
4/26/18 9:36,278.51,277.685,278.56,277.411,7285650,26207,156
4/26/18 9:37,277.78,278.5,278.71,277.17,8400414,30228,203
4/26/18 9:38,278.685,277.99,278.685,277.62,5428089.5,19526,98
4/26/18 9:39,277.9,278,278.36,277.84,1741711.625,6262,50
4/26/18 9:40,277.98,277,278,276.5,8266337,29842,168
4/26/18 9:41,276.96,277.95,277.95,276.82,4444582,16034,105
4/26/18 9:42,277.77,277.73,278.03,277.49,2996040,10788,77
4/26/18 9:43,277.65,277.27,277.771,277.04,2299093.5,8287,66
4/26/18 9:44,277.31,277.7,277.931,277.25,3203551.75,11540,53
4/26/18 9:45,277.79,278.09,278.09,277.5,3901217,14043,74
4/26/18 9:46,277.901,277.583,278.103,277.48,3729099.75,13426,58
4/26/18 9:47,277.7,277.79,278.1,277.505,2327565.75,8375,43
4/26/18 9:48,277.97,277.3,277.97,277.3,2259428,8141,41
4/26/18 9:49,277.3,277.13,277.42,276.93,3681510.25,13285,102
4/26/18 9:50,277.218,277.705,277.84,276.94,5425827,19554,84
4/26/18 9:51,277.5,277.95,277.97,277.5,1930674.625,6950,41
4/26/18 9:52,277.68,277.5,278.01,277.5,3682492.75,13259,44
4/26/18 9:53,277.78,277.46,277.88,277.46,1702970.875,6132,41
4/26/18 9:54,277.689,277.65,277.85,277.4,577293.313,2079,14
4/26/18 9:55,277.7,279.2,279.34,277.673,8810514,31631,160
4/26/18 9:56,279.165,279.88,279.88,278.91,8609793,30819,174
4/26/18 9:57,279.9,279.29,280.19,279.13,6209573.5,22193,114
4/26/18 9:58,279.45,279.64,279.76,279.04,2059498.125,7371,47
4/26/18 9:59,279.64,279.45,279.94,279.35,3461638.25,12377,62
4/26/18 10:00,279.458,279.11,279.57,278.79,3695788.75,13237,76
4/26/18 10:01,279.02,279.21,279.61,279.02,1758668,6297,45
4/26/18 10:02,279.37,279.31,279.56,278.96,2690054,9632,65
4/26/18 10:03,279.3,280,280.13,279.3,4682025.5,16737,93
4/26/18 10:04,280.01,280.54,280.57,280.01,4997923,17824,86
4/26/18 10:05,280.4,281.05,281.16,280.27,6205783.5,22104,144
4/26/18 10:06,281.02,281.67,281.67,280.82,6184438,21996,134
4/26/18 10:07,281.65,281.96,282.26,281.4,12713000,45109,202
4/26/18 10:08,281.88,282,282.27,281.82,2705535.25,9591,63
4/26/18 10:09,282.17,282.85,282.95,282.05,5240976,18553,116
4/26/18 10:10,282.882,283.36,283.55,282.814,9331406,32942,166
4/26/18 10:11,283.345,283.22,283.374,283.051,4616113,16298,95
4/26/18 10:12,283.16,282.8,283.34,282.75,4561407,16115,100
4/26/18 10:13,282.67,283.755,284.1,282.67,10956582,38641,222
4/26/18 10:14,283.71,284.79,284.79,283.71,9174320,32260,166
4/26/18 10:15,284.56,284.08,284.93,284.08,7638628.5,26828,164
4/26/18 10:16,284.2,283.76,284.2,283.71,2672509.25,9412,49
4/26/18 10:17,283.69,284.04,284.4,283.62,7979997,28092,100
4/26/18 10:18,284.168,283.77,284.33,283.77,6573510.5,23140,72
4/26/18 10:19,283.84,284.2,284.346,283.795,3840005,13516,71
4/26/18 10:20,284.14,284.758,284.87,284,8569779,30121,153
4/26/18 10:21,284.73,283.703,284.86,283.522,6214974.5,21860,145
4/26/18 10:22,283.578,283.23,283.78,283.06,4300815.5,15170,96
4/26/18 10:23,283.21,283.35,283.72,283.07,4464979.5,15752,98
4/26/18 10:24,283.27,283.19,283.302,282.931,5055234.5,17857,128
4/26/18 10:25,283.26,283.3,283.47,283.06,1152743,4070,27
4/26/18 10:26,283.45,283.48,283.685,283.22,2795841.25,9863,55
4/26/18 10:27,283.487,283.78,284.05,283.39,5571765,19635,114
4/26/18 10:28,283.7,283.77,284.15,283.64,4019888.5,14157,80
4/26/18 10:29,283.625,283.5,283.625,283.02,3279553.5,11577,80
4/26/18 10:30,283.457,283.35,283.63,283.25,3473827.5,12259,109
4/26/18 10:31,283.35,283.326,283.455,283.19,2181348.25,7700,54
4/26/18 10:32,283.5,283.26,283.645,283.26,1020429,3600,22
4/26/18 10:33,283.304,283.14,283.43,282.85,2773118.5,9795,62
4/26/18 10:34,283.04,283.165,283.23,282.93,3341490.25,11806,61
4/26/18 10:35,283.25,283.33,283.7,283.25,3109166.5,10967,64
4/26/18 10:36,283.33,283.265,283.375,283.16,1159045,4092,18
4/26/18 10:37,283.26,283.68,283.71,283.26,1913663.875,6748,33
4/26/18 10:38,283.65,283.91,284,283.58,2616006,9219,57
4/26/18 10:39,283.92,283.712,284.03,283.61,1800475.875,6342,42
4/26/18 10:40,283.76,282.935,283.8,282.67,4269140,15084,89
4/26/18 10:41,282.868,282.78,283.198,282.75,2460874.75,8698,37
4/26/18 10:42,282.78,282.127,282.918,281.91,3307796.5,11712,80
4/26/18 10:43,282.01,282.1,282.123,281.88,5860868,20784,99
4/26/18 10:44,282.11,282.1,282.23,281.86,3053649.25,10828,70
4/26/18 10:45,281.95,282.54,282.58,281.88,3295591.5,11675,70
4/26/18 10:46,282.5,282.405,282.57,282.211,3609570.5,12781,80
4/26/18 10:47,282.33,282.301,282.5,282.28,2284892.75,8091,55
4/26/18 10:48,282.335,281.5,282.36,281.49,4033728,14308,101
4/26/18 10:49,281.61,282,282,281.59,1271379.25,4511,32
4/26/18 10:50,281.97,281.52,282.09,281.5,2519030.5,8938,57
4/26/18 10:51,281.59,281.889,281.99,281.49,2191222,7779,54
4/26/18 10:52,281.98,281.9,282.2,281.87,2549256.25,9039,40
4/26/18 10:53,281.883,282.096,282.096,281.775,4346932,15420,62
4/26/18 10:54,281.94,282.16,282.452,281.94,3804738.25,13483,44
4/26/18 10:55,282.11,282.533,282.65,282.11,1765754.625,6253,42
4/26/18 10:56,282.4,282.394,282.53,282.176,1100427.25,3897,29
4/26/18 10:57,282.31,281.94,282.31,281.77,2747447.5,9746,34
4/26/18 10:58,281.867,281.93,282,281.65,3900098.5,13838,88
4/26/18 10:59,282,281.98,282.171,281.66,2791771.75,9902,65
4/26/18 11:00,281.99,281.94,282.065,281.85,869573.875,3084,21
4/26/18 11:01,281.89,281.19,282.01,280.87,5610444.5,19945,98
4/26/18 11:02,280.943,281.55,281.55,280.943,1159750,4124,38
4/26/18 11:03,281.5,281.55,281.71,281.4,1626872.125,5778,39
4/26/18 11:04,281.49,281.27,281.49,281.08,2119936.25,7535,35
4/26/18 11:05,280.96,281.15,281.15,280.71,2405822.25,8564,46
4/26/18 11:06,281.17,281.3,281.496,281.09,2101103.5,7469,57
4/26/18 11:07,281.43,281.84,281.88,281.16,2425494.25,8617,60
4/26/18 11:08,281.88,281.8,282,281.715,3085046.5,10945,64
4/26/18 11:09,281.76,281.15,281.76,280.93,2783038,9895,64
4/26/18 11:10,281.17,281.467,281.48,281.17,1608823.75,5719,33
4/26/18 11:11,281.65,281.62,281.81,281.491,2030783.25,7211,23
4/26/18 11:12,281.66,281.91,281.91,281.5,3237463.25,11496,65
4/26/18 11:13,281.85,281.83,282.15,281.705,2713236.5,9623,50
4/26/18 11:14,281.8,281.91,281.94,281.7,901779,3200,32
4/26/18 11:15,281.8,281.445,281.8,281.445,957506.875,3400,29
4/26/18 11:16,281.55,281.67,281.77,281.54,1282418.75,4553,33
4/26/18 11:17,281.81,282.06,282.06,281.675,1428909,5068,35
4/26/18 11:18,282,281.899,282.04,281.78,1740090.875,6172,45
4/26/18 11:19,281.91,282.15,282.3,281.91,1897757,6725,49
4/26/18 11:20,282.14,281.55,282.14,280.94,6379749,22670,159
4/26/18 11:21,281.425,281.56,281.66,281.3,1548062.5,5500,45
4/26/18 11:22,281.52,280.703,281.52,280.66,4173657.5,14853,98
4/26/18 11:23,280.722,280.83,281.04,280.57,1754966.25,6250,50
4/26/18 11:24,280.776,280.47,280.85,280.463,1068063.875,3805,27
4/26/18 11:25,280.38,280.61,280.91,280.05,3861492.25,13769,113
4/26/18 11:26,280.57,280.745,281,280.19,1589138.75,5664,45
4/26/18 11:27,280.757,280.75,280.9,280.75,627868.875,2236,18
4/26/18 11:28,280.68,280.98,281.19,280.68,2507826,8923,49
4/26/18 11:29,281.07,281.32,281.51,280.99,1704913.375,6061,32
4/26/18 11:30,281.36,281.121,281.36,280.88,899506.688,3200,24
4/26/18 11:31,281.265,281.04,281.59,281.02,1437892.25,5110,34
4/26/18 11:32,281.26,281.15,281.26,280.95,1395954.625,4967,24
4/26/18 11:33,281.105,280.92,281.267,280.92,995161.188,3540,18
4/26/18 11:34,281.06,280.66,281.25,280.61,2839911.25,10109,49
4/26/18 11:35,280.75,281.05,281.05,280.75,1085137.125,3863,35
4/26/18 11:36,281,280.66,281,280.66,1117661.5,3980,36
4/26/18 11:37,280.61,280.39,280.61,280.251,1333801.5,4757,28
4/26/18 11:38,280.48,280.655,280.74,280.41,1112044.875,3964,28
4/26/18 11:39,280.72,280.52,280.73,280.49,1094289,3900,18
4/26/18 11:40,280.44,280.29,280.44,280.141,1552825.375,5541,39
4/26/18 11:41,280.419,279.88,280.419,279.88,3616191.5,12906,62
4/26/18 11:42,279.95,280.085,280.29,279.85,1608360.875,5743,45
4/26/18 11:43,279.9,280.301,280.301,279.9,949698.875,3390,16
4/26/18 11:44,280.34,280.5,280.5,280.28,1102584.875,3932,21
4/26/18 11:45,280.59,280.21,280.59,280.21,826381.125,2947,15
4/26/18 11:46,280.288,280.74,280.74,280.19,2185791.75,7792,52
4/26/18 11:47,280.615,280.19,280.67,280.18,1214542.625,4330,22
4/26/18 11:48,280.226,280.641,280.7,280.226,1577512.625,5624,20
4/26/18 11:49,280.69,280.8,280.82,280.628,1684543,6000,31
4/26/18 11:50,280.68,281.108,281.16,280.56,2831846.25,10082,53
4/26/18 11:51,281.198,280.786,281.38,280.786,463867.188,1650,12
4/26/18 11:52,280.7,280.589,280.79,280.52,1143104.875,4074,13
4/26/18 11:53,280.715,280.814,280.814,280.715,288617.625,1028,6
4/26/18 11:54,280.67,280.45,280.67,280.4,1654928.5,5900,31
4/26/18 11:55,280.48,280.3,280.77,280.3,1346561.125,4800,30
4/26/18 11:56,280.37,280.64,280.73,280.37,1529068.375,5449,24
4/26/18 11:57,280.62,280.38,280.62,280.26,1736935.25,6194,27
4/26/18 11:58,280.451,280.12,280.451,280,220235.578,786,7
4/26/18 11:59,280.25,280.62,280.865,280.25,1845276.625,6576,20
4/26/18 12:00,280.58,280.54,280.634,280.39,753471.5,2686,23
4/26/18 12:01,280.46,280.35,280.71,280.35,1137047.75,4052,22
4/26/18 12:02,280.43,280.432,280.57,280.43,813328.375,2900,20
4/26/18 12:03,280.489,280.54,280.65,280.36,1122063.75,4000,33
4/26/18 12:04,280.53,280.27,280.53,280,5112938,18249,91
4/26/18 12:05,280.33,280.356,280.388,280.13,1499610.25,5350,12
4/26/18 12:06,280.253,280.22,280.356,280.22,597304,2131,10
4/26/18 12:07,280.22,280.34,280.379,280.11,2276061.75,8122,37
4/26/18 12:08,280.37,280.334,280.37,280.2,560070.5,1998,12
4/26/18 12:09,280.34,280.39,280.508,280.32,1590864.875,5673,18
4/26/18 12:10,280.378,280.36,280.42,280.21,1819974.5,6492,32
4/26/18 12:11,280.329,280.15,280.43,280.15,710446.313,2535,19
4/26/18 12:12,280.14,280.36,280.36,280.057,3874240.75,13827,35
4/26/18 12:13,280.327,280.309,280.37,280.12,1062810.125,3792,21
4/26/18 12:14,280.37,280.23,280.39,280.14,894705.563,3192,20
4/26/18 12:15,280.348,280.333,280.348,280.333,56068.129,200,2
4/26/18 12:16,280.24,280.17,280.244,279.95,3204644,11442,45
4/26/18 12:17,280.2,280.79,280.79,280.2,3761092.25,13409,54
4/26/18 12:18,280.77,281.18,281.18,280.77,1403508.875,4995,22
4/26/18 12:19,281.215,281.15,281.448,281.15,1608467.625,5718,28
4/26/18 12:20,281.2,281.253,281.253,281.05,337144.125,1199,7
4/26/18 12:21,281.32,281.58,281.72,281.32,1925288,6838,38
4/26/18 12:22,281.54,281.65,281.73,281.54,1182671.875,4199,20
4/26/18 12:23,281.61,281.84,281.91,281.61,1742607.875,6185,17
4/26/18 12:24,281.899,281.2,281.92,281.2,3547982,12596,65
4/26/18 12:25,281.23,281.6,281.77,281.23,943038.938,3350,22
4/26/18 12:26,281.66,281.31,281.66,281.26,1285139.5,4566,32
4/26/18 12:27,281.41,281.53,281.63,281.31,788196.938,2800,14
4/26/18 12:28,281.563,281.57,281.66,281.41,1221599.625,4339,26
4/26/18 12:29,281.6,281.84,281.93,281.6,1959704,6956,38
4/26/18 12:30,281.97,281.69,282,281.68,3857627.5,13687,48
4/26/18 12:31,281.805,281.724,281.97,281.724,1950815.25,6922,31
4/26/18 12:32,281.822,281.72,281.98,281.67,1813241.25,6433,41
4/26/18 12:33,281.625,281.832,281.85,281.61,2920602.75,10367,48
4/26/18 12:34,281.825,281.62,281.86,281.62,1732338.875,6148,24
4/26/18 12:35,281.68,281.905,282,281.68,4486514.5,15914,64
4/26/18 12:36,281.91,281.82,281.97,281.78,1338849.5,4750,28
4/26/18 12:37,281.74,281.9,281.9,281.62,2499040.5,8870,48
4/26/18 12:38,281.881,282.15,282.2,281.701,3564400.25,12642,53
4/26/18 12:39,282.18,281.71,282.18,281.71,2758656,9781,50
4/26/18 12:40,281.71,281.96,281.96,281.54,2360350.75,8379,46
4/26/18 12:41,281.96,282.105,282.17,281.96,1724109.125,6112,24
4/26/18 12:42,282.03,281.703,282.058,281.703,1895392.375,6724,21
4/26/18 12:43,281.805,281.74,281.9,281.74,914777.5,3246,14
4/26/18 12:44,281.89,282.23,282.23,281.78,1923259.125,6820,30
4/26/18 12:45,282.24,282.255,282.36,282.16,1524126.125,5400,24
4/26/18 12:46,282.22,282.124,282.22,282.04,879472.875,3117,19
4/26/18 12:47,282.1,281.89,282.1,281.63,2490120.75,8835,41
4/26/18 12:48,281.813,282.29,282.31,281.6,3983163.5,14124,59
4/26/18 12:49,282.24,282.54,282.65,282.24,3201563.5,11335,59
4/26/18 12:50,282.41,282.63,282.88,282.41,2232250.5,7897,48
4/26/18 12:51,282.611,283,283,282.611,1841829.75,6511,38
4/26/18 12:52,282.955,282.7,282.955,282.58,1991485.375,7044,41
4/26/18 12:53,282.7,282.801,282.91,282.7,1083583.625,3832,20
4/26/18 12:54,282.81,282.978,283.02,282.805,1281257.375,4528,18
4/26/18 12:55,283.02,282.62,283.08,282.62,1303738.375,4609,29
4/26/18 12:56,282.58,282.826,282.826,282.38,2289900,8103,41
4/26/18 12:57,282.78,282.73,282.9,282.73,579762.563,2050,9
4/26/18 12:58,282.797,282.63,282.892,282.591,969326.5,3429,19
4/26/18 12:59,282.52,282.626,282.72,282.52,652590.625,2309,11
4/26/18 13:00,282.73,282.144,282.869,281.82,6165035.5,21847,106
4/26/18 13:01,282.06,282.265,282.33,281.96,1009725.75,3579,18
4/26/18 13:02,282.237,282.28,282.28,282.237,389221.156,1379,2
4/26/18 13:03,282.295,282.041,282.295,281.95,1443262.625,5116,34
4/26/18 13:04,282,282.03,282.122,282,834320.563,2958,22
4/26/18 13:05,282.03,281.77,282.03,281.587,1279824.75,4542,28
4/26/18 13:06,281.73,281.78,281.84,281.73,591739.125,2100,10
4/26/18 13:07,281.65,281.365,281.69,281.28,728426.688,2588,24
4/26/18 13:08,281.44,281.555,281.615,281.44,547560.375,1945,11
4/26/18 13:09,281.69,281.6,281.83,281.58,1127017.25,4000,40
4/26/18 13:10,281.72,281.71,281.889,281.46,1079006,3831,27
4/26/18 13:11,281.81,281.71,281.81,281.71,253563,900,8
4/26/18 13:12,281.818,282.12,282.12,281.744,935602,3319,17
4/26/18 13:13,282.06,281.88,282.15,281.88,570046,2021,11
4/26/18 13:14,281.985,281.58,281.985,281.42,819715.5,2909,17
4/26/18 13:15,281.6,281.65,281.65,281.59,366401.594,1301,5
4/26/18 13:16,281.73,281.88,281.88,281.63,1469954.125,5216,24
4/26/18 13:17,281.85,281.881,281.925,281.846,366432.188,1300,7
4/26/18 13:18,281.98,281.984,282.01,281.91,1158440.75,4108,22
4/26/18 13:19,282.01,281.99,282.15,281.99,2085065.5,7392,41
4/26/18 13:20,282.09,282.292,282.292,282.056,849688.688,3011,17
4/26/18 13:21,282.275,282.1,282.275,282.08,662039.813,2346,18
4/26/18 13:22,282.23,282.183,282.24,282.177,682051,2417,5
4/26/18 13:23,282.33,282.216,282.33,282.143,309389.125,1096,9
4/26/18 13:24,282.35,282.27,282.35,281.982,1520271.5,5389,20
4/26/18 13:25,282.3,282.135,282.35,282.135,983485,3484,10
4/26/18 13:26,282.092,281.99,282.177,281.71,1891708.875,6709,20
4/26/18 13:27,281.89,281.689,281.89,281.57,588850.625,2090,13
4/26/18 13:28,281.85,281.8,281.935,281.71,376001.813,1334,10
4/26/18 13:29,281.87,281.8,281.91,281.72,562533.75,1996,10
4/26/18 13:30,281.97,282.04,282.04,281.866,530284.813,1881,9
