"time","text","replies","retweets","likes","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
2011-01-19,"listening ",0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-28,"happy bihday mr",0,0,0,0,1,0,0,1,0,0,1,0,1
2017-09-29,"",6,48,63,0,0,0,0,0,0,0,0,0,0
2018-05-11,"    inspired   spacex",1,3,40,0,0,0,0,1,0,1,1,0,1
2018-05-11," open letter  

 please consider ",10,1300,3800,0,1,0,0,0,0,0,0,0,0
2018-05-11," week  rented  car   future via",1,2,20,0,0,0,0,0,0,0,0,0,0
2018-05-11,"towards end  next year btw planning  launch tesla  turkey later  year love  countrywill    person   launch",1,5,13,0,2,0,0,1,0,0,1,0,3
2018-05-11,"good morning 
   think autopilot will  able  cross  amsterdam street",4,13,17,1,1,0,1,1,1,1,1,1,1
2018-05-11," herd   threat  sale  possible slaughter  may  well  gone soon  use    videos regularly",0,22,14,2,0,1,2,0,1,1,0,2,0
2018-05-11,"  morning reading 

 dinesh",4,1,28,0,0,0,0,0,0,0,0,0,1
2018-05-11,"hey",0,8,13,0,0,0,0,0,0,0,0,0,0
2018-05-12,"",0,9,11,0,0,0,0,0,0,0,0,0,0
2018-05-12,"attending  brunchsolar panel presentation ",1,1,8,0,0,0,0,0,0,0,0,0,0
2017-09-29,"read ",5,67,94,0,0,0,0,0,0,0,0,0,0
2018-05-13,"big thanks ",0,1,14,0,0,0,0,0,0,0,0,0,0
2018-05-13,"  
check   s3xy cha forecasting teslas future growth",0,4,10,0,0,0,0,0,0,0,0,0,1
2018-05-13,"    chance please take  picture   area behind  brake rotor showing  lower suspension arms  believe   fore link might  cracked  info 
damage   fore link     red points  cause  motion green   seeing   video",1,3,28,2,1,1,2,1,2,1,1,4,2
2018-05-13,"  taken  harsh criticism   views hes right tho  car  simply  heavy  produces  much torque   components",2,0,12,1,0,0,0,0,1,0,0,1,0
2018-05-14,"  able  spend   days   tesla model 3   several videos  post production     teaser",1,7,69,0,1,0,0,0,0,0,0,0,2
2018-05-14,"dear 

 sim companies  babies   subsimcity 4  tesla posted   autopilot positions today 

     related description  working   creation  photo realistic 3d scenes  can accura",2,3,14,0,0,0,0,0,0,0,1,0,2
