"","Date","text","replies","retweets","likes","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",2016-11-10,"tesla shares downshift  unceainty  republican sweep",4,10,8,0,0,0,0,0,0,0,0,0,0
"2",2016-11-21,"musk got   wanted  teslasolarcity dealnow comes  hard pa",0,10,6,0,0,0,0,0,0,0,0,0,0
"3",2017-02-23," richard branson warren buffett elon musk  13  leaders sta  day",7,5,16,0,0,0,0,0,0,0,0,0,0
"4",2018-04-18,"tesla shares rise  elon musk raises model 3 goal  internal email",5,12,14,0,0,0,0,0,0,0,0,0,1
"5",2018-04-18,"elon musks 6 productivity rules including walk   meetings  waste  time",8,39,88,0,1,1,0,0,0,0,0,1,2
"6",2018-04-19,"  want  get  job  tesla   3 things  keep  mind",2,3,4,0,0,0,0,0,0,0,0,0,1
"7",2018-04-19,"one researcher   ai lab cofounded  elon musk made  $19 million  2016",1,8,12,0,0,0,0,0,0,0,0,0,0
"8",2018-04-20,"top vc deals elon musk backs  boring company tiger gets  cannabis",0,6,10,0,1,0,0,0,0,0,1,1,1
"9",2018-04-20,"sell tesla shares  bmw audi competition  coming jp morgan",6,18,17,0,2,0,0,0,0,0,0,1,0
"10",2018-04-20,"3 things  keep  mind   want  get  job  tesla",1,4,6,0,0,0,0,0,0,0,0,0,1
"11",2018-04-20," electric semi  trying  beat tesla  market",3,40,60,0,0,0,0,1,0,1,0,0,1
"12",2018-04-20,"tesla shares fall  news  new probe  workplace injury",1,11,12,1,0,0,1,0,2,0,0,2,0
"13",2018-04-21,"elon musk  doubled    dire warnings   danger  aificial intelligence",15,47,78,0,0,1,3,1,2,1,1,2,1
"14",2017-02-23,"",1,22,16,0,0,0,0,0,0,0,0,0,0
"15",2018-04-23,"kanye west thanks elon musk  says   tesla   funnest car   ever driven",4,13,29,0,0,0,0,0,0,0,0,0,0
"16",2018-04-23,"tesla amazon apple waymo gm ford   leading  selfdriving car race",2,23,35,0,0,0,0,0,0,0,1,0,0
"17",2018-04-23," really love  tesla im   future thank  elon kanye west said  one tweet",5,8,35,0,0,0,0,1,0,0,0,0,1
"18",2018-04-23,"elon musk admits     overcome  1 bad habit   road  success via",1,6,10,1,1,1,1,1,1,0,0,1,1
"19",2018-04-23,"kanye west praised  tesla   funnest car hes ever driven  thanked elon musk   series  tweets  monday",11,10,35,0,0,0,0,1,0,0,1,0,1
"20",2018-04-23,"early investor  tesla skype  hotmail says bitcoin will  bigger    combined",2,19,45,0,0,0,0,0,0,0,0,0,0
"21",2018-04-23,"elon musk   quit  common bad habit   became successful",1,8,22,1,1,1,1,1,1,0,1,2,1
"22",2018-04-23,"kanye west thanks elon musk  says   tesla   funnest car   ever driven",6,14,39,0,0,0,0,0,0,0,0,0,0
"23",2018-04-23,"  want  get  job  tesla   3 things  keep  mind",2,8,18,0,0,0,0,0,0,0,0,0,1
"24",2018-04-23,"kanye west praised  tesla   funnest car hes ever driven  thanked elon musk   series  tweets  monday ",4,7,19,0,0,0,0,1,0,0,1,0,1
"25",2017-02-23,"tesla stock opens   earnings",0,4,8,0,0,0,0,0,0,0,0,0,0
"26",2018-04-24,"chinese electric car staup nio  welcome competition  tesla  others",8,17,28,0,1,0,0,1,0,1,0,1,1
"27",2018-04-24,"elon musks 6 productivity rules include walking   meetings  waste  time",9,67,145,0,1,1,0,0,0,0,0,1,2
"28",2018-04-24,"tesla can help chinas electric car market grow bigger  stronger says staup wm motors",3,16,18,0,1,0,0,2,0,1,1,0,2
"29",2018-04-25,"tesla amazon apple waymo gm ford   leading  selfdriving car race",4,17,20,0,0,0,0,0,0,0,1,0,0
"30",2018-04-25,"tesla can help chinas electric car market grow bigger  stronger says staup wm motors",0,6,7,0,1,0,0,2,0,1,1,0,2
"31",2018-04-25,"tesla reminds   apple says  president   chinese staup",0,2,13,0,0,0,0,0,0,0,1,0,1
"32",2018-04-25,"elon musks 6 productivity rules include walking   meetings  waste  time",2,23,54,0,1,1,0,0,0,0,0,1,2
"33",2018-04-25,"3 things  keep  mind   want  get  job  tesla",0,4,3,0,0,0,0,0,0,0,0,0,1
"34",2018-04-25,"chinese electric car staup nio  welcome competition  tesla  others",3,11,14,0,1,0,0,1,0,1,0,1,1
"35",2018-04-26,"elon musks big ambitions may  killing tesla",3,8,19,1,0,0,1,0,1,0,0,1,0
"36",2017-02-27,"sell tesla  model 3 sales will disappoint next year goldman sachs says",7,15,19,1,0,1,0,0,1,0,0,1,1
"37",2018-04-26,"teslas jim keller head   lowvoltage hardware  autopilot software  infotainment  leaving  company",1,9,10,0,0,0,0,0,0,0,0,0,0
"38",2018-04-26,"elon musk   quit  common bad habit   became successful",1,2,17,1,1,1,1,1,1,0,1,2,1
"39",2018-04-26,"elon musk   lot going    may  coming   expense  tesla via",1,4,9,0,1,0,0,0,0,0,0,0,0
"40",2018-04-26,"heres  elon musks big ambitions may  killing tesla",4,7,7,1,0,0,1,0,1,0,0,1,0
"41",2018-04-26,"heres  elon musks big ambitions may  killing tesla",1,9,17,1,0,0,1,0,1,0,0,1,0
"42",2018-04-27,"tesla  use spacex  manage massive amount  selfdriving car data",2,5,11,0,0,0,0,0,0,0,1,0,1
"43",2018-04-27,"teslas head  autopilot leaves exapple exec  succeed ",0,3,8,0,1,0,0,1,0,1,1,0,1
"44",2018-04-27,"elon musks big ambitions may  killing tesla via",3,8,5,1,0,0,1,0,1,0,0,1,0
"45",2018-04-27,"  raise  next elon musk according   innovation expe",2,6,15,0,0,0,0,0,0,0,0,0,1
"46",2018-04-27,"car biz  hell  humans  underrated elon musks best quotes  far  year",2,7,23,1,0,1,1,0,1,0,0,1,0
"47",2017-02-28," technical reason  tesla shares  soon rise 54 percent",1,8,15,0,0,0,0,0,0,0,0,0,1
"48",2018-04-27,"elon musk   wellknown   witty online banter      sometimes awkward inperson appearances",0,6,12,0,0,0,0,1,0,0,0,0,1
"49",2018-04-27,"parents  want  raise  next visionary leader can learn  lot  looking  elon musks childhood",1,6,24,0,1,0,0,2,0,0,2,0,4
"50",2018-04-28,"heres  elon musk   quit drinking large amounts  caffeinated beverages via",3,11,25,0,0,0,0,0,0,0,0,2,0
"51",2018-04-28,"elon musk   quit  common bad habit   became successful",0,8,25,1,1,1,1,1,1,0,1,2,1
"52",2018-04-28,"    elon musks best quotes  year",5,11,17,0,0,0,0,0,0,0,0,0,0
"53",2018-04-28,"elon musks 6 productivity rules include walking   meetings  waste  time",12,73,176,0,1,1,0,0,0,0,0,1,2
"54",2018-04-28,"elon musk   quit  common bad habit   became successful",5,6,24,1,1,1,1,1,1,0,1,2,1
"55",2018-04-28,"elon musk   quit  common bad habit   became successful",5,6,23,1,1,1,1,1,1,0,1,2,1
"56",2018-04-29,"heres  elon musk swapped  caffeinated drinks   good ol h2o via",2,5,10,0,1,0,0,1,0,1,1,0,1
"57",2018-04-29,"elon musk admits     overcome  1 bad habit   road  success via",3,7,16,1,1,1,1,1,1,0,0,1,1
"58",2017-03-01,"tesla sued  alleged pervasive harassment gender discrimination",3,15,12,1,0,1,1,0,1,0,0,1,0
"59",2018-04-29,"heres  elon musks big ambitions may  killing tesla",3,16,15,1,0,0,1,0,1,0,0,1,0
"60",2018-04-30,"elon musk   quit  common bad habit   became successful",7,8,19,1,1,1,1,1,1,0,1,2,1
"61",2018-04-30," man  put  tesla  autopilot  moved   passenger seat   busy freeway   banned  driving via",5,11,29,0,1,0,0,0,0,0,0,0,0
"62",2018-04-30,"  want  get  job  tesla   3 things  keep  mind",2,5,12,0,0,0,0,0,0,0,0,0,1
"63",2018-04-30," man  put  tesla  autopilot  moved   passenger seat   busy freeway   banned  driving via",3,10,21,0,1,0,0,0,0,0,0,0,0
"64",2018-04-30,"early investor  tesla skype  hotmail says bitcoin will  bigger    combined",2,17,34,0,0,0,0,0,0,0,0,0,0
"65",2018-04-30,"teslas  25   high  chas point   pain via",4,10,10,0,0,0,1,0,1,0,0,1,0
"66",2018-04-30,"heres  elon musks big ambitions may  killing tesla",2,12,15,1,0,0,1,0,1,0,0,1,0
"67",2018-04-30," man  put  tesla  autopilot  moved   passenger seat  banned  driving",2,7,13,0,1,0,0,0,0,0,0,0,0
"68",2018-05-01,"elon musk   quit  common bad habit   became successful",2,8,16,1,1,1,1,1,1,0,1,2,1
"69",2017-03-01," bill gates  sta  business  elon musk heres  hed want  ",4,17,16,0,0,0,0,0,0,0,0,0,0
"70",2018-05-01,"elon musks 6 productivity rules include walking   meetings  waste  time",2,27,51,0,1,1,0,0,0,0,0,1,2
"71",2018-05-01,"heres  elon musk   quit drinking large amounts  caffeinated beverages via",0,4,5,0,0,0,0,0,0,0,0,2,0
"72",2018-05-02,"tesla promises profits   second half   yearif  can meet model 3 production goals",11,8,13,0,1,0,0,0,0,0,0,0,2
"73",2018-05-02,"tesla stock drops  elon musk gives bizarre earnings call",6,26,39,0,0,0,0,0,0,1,0,1,0
"74",2018-05-02,"tesla ceo elon musk continues  say    plans  raise capital",3,5,17,0,0,0,0,0,0,0,0,0,0
"75",2018-05-02,"tesla stock drops  elon musk gives bizarre earnings call",16,60,100,0,0,0,0,0,0,1,0,1,0
"76",2018-05-02,"teslas elon musk  take question  youtube channel owner",2,10,24,0,0,0,0,0,0,0,0,0,1
"77",2018-05-02,"elon youve got  grow  analyst explains  tesla chief left   frustrated",2,3,23,1,2,0,0,1,0,0,2,1,2
"78",2018-05-02,"tesla promises profits   second half   yearif  can meet model 3 production goals",4,4,10,0,1,0,0,0,0,0,0,0,2
"79",2018-05-02,"even  2006   first rocket demonstration failed elon musk  confident   company",3,10,26,1,0,0,0,1,0,0,1,0,1
"80",2017-03-02," 5thgrader wrote  letter  elon musk   business ideaheres   billionaire responded",1,17,28,0,1,0,0,0,0,0,0,0,0
"81",2018-05-02,"tesla sued  truck staup alleging design patent violation",0,18,11,1,0,0,1,0,1,1,1,1,1
"82",2018-05-02,"  man elon musk trusts  manage teslas cash crunch thinks  crisis
",0,3,3,2,1,0,1,1,0,0,2,2,2
"83",2018-05-02,"tesla  parked   bear market    levels  watch   via",1,8,8,1,1,0,2,0,0,0,0,0,0
"84",2018-05-02," elon musk biting     can chew",4,10,12,0,0,0,0,0,0,0,0,0,0
"85",2018-05-02,"watch elon musk promise back  2006  spacex will   top rocket company",0,7,14,1,2,0,1,1,0,0,2,0,2
"86",2018-05-02,"elon musk even  2006 knew  spacex    pioneering space travel company",2,6,17,0,0,0,0,0,0,0,0,0,0
"87",2018-05-02,"tesla  expected  repo firstquaer earnings   bell",2,7,11,0,1,0,0,0,0,0,0,0,0
"88",2018-05-02,"tesla rival nikola motor says teslas electric semi truck  infringing   patents",1,4,5,0,0,0,0,1,0,1,1,0,1
"89",2018-05-02,"tesla cfo managed  cash crisis  2008   coming   retirement    
",6,4,11,1,3,0,2,2,1,0,2,2,2
"90",2018-05-03,"even  2006   first rocket demonstration failed elon musk  confident   company",2,12,42,1,0,0,0,1,0,0,1,0,1
"91",2017-03-03,"tesla will need $8 billion  make us supercharger network rival gas stations says analyst",8,22,36,0,2,0,0,0,0,0,1,0,1
"92",2018-05-03,"exgoogle exec 3 traits  make elon musk  exceptional leaderand one major flaw",1,10,8,0,0,0,0,0,1,0,0,1,1
"93",2018-05-03,"sacconaghi  musk earnings call    financial analyst call     ted talk",6,26,55,0,1,0,0,0,0,0,1,0,2
"94",2018-05-03,"teslas elon musk uberairbnbtype sharing  electric selfdriving cars   obvious future",6,21,37,0,0,0,0,1,0,1,1,0,2
"95",2018-05-03,"every ceo  love  go  like tesla ceo elon musk    unusual postearnings call says",7,9,30,0,0,0,0,1,0,0,0,0,1
"96",2018-05-03," teslas tense earnings call heres   major analysts   say",4,9,12,0,0,0,0,0,0,0,0,0,1
"97",2018-05-03,"tesla bull sounds   conference call   reevaluating  stance   company",1,2,5,0,0,0,0,0,0,0,0,0,0
"98",2018-05-03,"teslas bizarre earnings call    best",5,4,11,0,0,0,0,0,0,1,0,1,0
"99",2018-05-03,"everyones talking  elon musks strange tesla earnings call   highlights",4,8,17,0,0,0,0,0,0,0,0,0,0
"100",2018-05-03,"cramer defends elon musks crazy call every ceo love  go  like ",3,7,17,1,0,0,1,1,1,0,0,1,1
"101",2018-05-03,"tesla opens 7 percent   day  controversial earnings call",5,10,8,1,0,0,0,0,0,0,0,1,0
"102",2017-03-06,"tunnel vision elon musks tweet teases  cap   boring company",1,5,11,0,2,0,0,0,0,0,1,1,1
"103",2018-05-03,"teslas 1q18 analyst conference call  arguably   unusual call   experienced  20 years   sellside  morgan stanley analyst says",4,13,17,0,1,0,0,0,0,0,2,0,2
"104",2018-05-03,"heres  every major wall street analyst   say  teslas results musks call",3,5,6,0,1,0,0,0,0,0,1,0,2
"105",2018-05-03,"  highlights   elon musks strange tesla call theyre killing ",5,6,16,1,0,0,1,0,1,0,0,1,0
"106",2018-05-03,"musks bizarre earnings call    unusual   morgan stanley analysts 20year career",6,18,20,0,1,0,0,0,0,1,0,1,1
"107",2018-05-03,"teslas earnings  better  expected   bizarre earnings call shows elon musk   lot going ",4,12,7,0,1,0,0,0,0,1,0,1,0
"108",2018-05-03,"jim chanos   tesla shosellers smelling blood   water",5,11,13,0,0,1,0,0,0,0,0,1,0
"109",2018-05-03,"tesla set  drop  day  controversial earnings call",6,5,6,1,0,0,0,0,0,0,0,1,0
"110",2018-05-03,"elon musk  acting like  plans  never need  raise capital ",1,8,17,0,0,0,0,0,0,0,0,0,0
"111",2018-05-03,"everyones  talking  elon musks bizarre earnings call watch  youll find  ",12,31,64,0,1,0,1,0,0,1,0,1,0
"112",2018-05-03,"elon musks behavior  teslas recent earnings call raises questions   relationship   investors whove bought equity   company",6,13,15,0,0,0,0,0,0,0,0,0,1
"113",2016-11-22,"tesla powers  whole island  solar  show   energy chops",3,25,37,0,0,0,0,0,0,0,1,0,0
"114",2017-03-06," launching tesla taught elon musks brother  never  ",0,5,2,0,0,0,0,0,0,0,2,0,1
"115",2018-05-03,"shoseller mark spiegel believes tesla will suffer  new competition   electric car market",10,8,18,0,1,0,0,1,0,1,0,2,1
"116",2018-05-03,"shosellers   looking  weeks  pounce  tesla  ceo elon musks incendiary call  analysts  just provide     feast ",1,9,15,1,0,0,1,0,0,1,1,1,1
"117",2018-05-03,"  companys earnings call tesla ceo elon muskoutlined   called  obvious future   car industry",2,5,12,0,0,0,0,0,0,0,1,0,1
"118",2018-05-03,"shoseller mark spiegel says tesla  stock woh zero",16,25,46,0,0,0,0,0,0,0,0,0,0
"119",2018-05-03,"one analyst thinks elon musks bizarre earnings call  worrisome",2,8,10,0,1,0,0,0,0,1,1,1,1
"120",2018-05-03,"tesla saw  worst day     month  controversial earnings call",3,3,2,1,0,0,0,0,0,0,0,1,0
"121",2018-05-03,"musks behavior  teslas earnings call    good sign says herb greenberg",1,11,17,0,1,0,0,1,0,1,1,0,1
"122",2018-05-03,"elon musk  always  peculiar   behavior   electric carmakers quaerly earnings call raises  red flag  one cnbc contributor",9,13,25,0,0,0,0,1,0,1,1,0,2
"123",2018-05-03,"cramer remix elon musks conference call   best ever",3,4,22,0,0,0,0,0,0,0,0,0,0
"124",2018-05-03,"",6,11,21,0,0,0,0,0,0,0,0,0,0
"125",2017-03-07,"",7,14,16,0,0,0,0,0,0,0,0,0,0
"126",2018-05-04,"  three traits  make musk  exceptional leader  well  one weakness  may want  work  via",0,3,10,0,0,0,0,0,0,0,1,1,1
"127",2018-05-04,"commentary  ceos already  earned  right  ignore  quaerly earnings gamebut  elon musk",1,3,5,0,0,0,0,0,0,0,0,1,0
"128",2018-05-04,"elon musk defends  conference call performance says analysts  trying  justify  tesla sho thesis",4,4,22,0,0,0,0,0,0,0,0,0,0
"129",2018-05-04," many automakers set  release   electric cars  shoseller reiterated  bearish stance  tesla",1,2,4,1,0,0,1,1,0,1,0,0,1
"130",2018-05-04,"    outrageous things elon musk said   bizarre tesla earnings call",10,16,22,0,0,0,0,0,0,2,0,1,0
"131",2018-05-04,"elon musks ability   transparent funny  personally engaged  moving  teams forward makes   exceptional leader",8,21,42,0,1,0,0,1,0,0,2,0,4
"132",2018-05-04,"heres ",2,2,8,0,0,0,0,0,0,0,0,0,0
"133",2018-05-05,"shoseller mark spiegel said  believes tesla will suffer  new competition   electriccar market",6,12,34,0,1,0,0,0,0,0,0,2,0
"134",2018-05-05,"elon musk  always  peculiar   behavior   electric carmakers quaerly earnings call raises  red flag  one cnbc contributor",4,12,18,0,0,0,0,1,0,1,1,0,2
"135",2018-05-05,"elon youve got  grow  analyst explains  tesla chief left   frustrated",4,11,14,1,2,0,0,1,0,0,2,1,2
"136",2017-03-09,"  craigslist post landed   first job  tesla",2,10,25,0,0,0,0,0,0,0,0,0,2
"137",2018-05-05,"though elon musk  experience working long hours   pressure  admits     overcome one bad habit   road  success",2,9,17,1,2,1,1,1,1,0,0,2,2
"138",2018-05-05,"tesla amazon apple waymo gm ford   leading  selfdriving car race",3,16,18,0,0,0,0,0,0,0,1,0,0
"139",2018-05-05,"musks bizarre earnings call    unusual   morgan stanley analysts 20year career",2,12,30,0,1,0,0,0,0,1,0,1,1
"140",2018-05-06," makes elon musk  exceptional leader  ability   transparent funny  personally engaged  moving  teams forward",4,23,35,0,1,0,0,1,0,0,2,0,4
"141",2018-05-06,"though elon musk  experience working long hours   pressure  admits     overcome one bad habit   road  success",4,11,27,1,2,1,1,1,1,0,0,2,2
"142",2018-05-07,"warren buffett ",4,17,33,0,0,0,0,0,0,0,0,0,0
"143",2018-05-07,"moats  candy heres  elon musk  warren buffett clashed   weekend via",0,12,13,0,0,0,0,0,0,0,0,0,0
"144",2018-05-07,"berkshire hathaway wells fargo  tesla    spotlight  morning",0,5,4,0,0,0,0,0,0,0,0,0,0
"145",2018-05-07,"warren buffett says elon musk  trying   something  improve  product   salute    via",4,7,18,0,1,0,0,2,0,0,1,0,2
"146",2018-05-07,"elon musks ability   transparent funny  personally engaged  moving  teams forward makes   exceptional leader",3,13,27,0,1,0,0,1,0,0,2,0,4
"147",2017-03-09,"tesla stock  fairly valued right now  near term challenges remain says bernstein analyst",0,4,3,0,1,0,0,0,0,0,2,0,2
"148",2018-05-08,"elon musk took   oracle  omaha   weekend calling  moat analogy lame",2,4,8,0,1,0,0,0,0,0,2,0,1
"149",2018-05-08,"elon musk got  good price   33000 shares  just bought says",3,10,13,0,1,0,0,1,0,1,1,0,1
"150",2018-05-09," dear elon open letter analyst cut   teslas musk says  will hold company accountable",5,6,8,0,2,0,0,0,0,0,2,0,3
"151",2018-05-09,"hopefully  can appreciate  anyone looking  invest  teslas future must first  comfoable   present said  analyst elon musk cut    earnings call",1,10,11,0,2,0,0,1,0,1,2,0,2
"152",2018-05-09,"elon musks ability   transparent funny  personally engaged  moving  teams forward makes   exceptional leader",0,6,18,0,1,0,0,1,0,0,2,0,4
"153",2018-05-09," tesla model s crashed  caught fire  fo lauderdale florida killing two teenage males  sending  third   hospital",5,14,12,1,0,0,3,0,2,0,1,1,1
"154",2018-05-09,"two teenagers  killed   third  injured   tesla model s crashed  caught fire  florida according   nbc miami repo",2,10,11,0,0,0,2,0,1,0,0,1,1
"155",2018-05-10,"meet  hydrogenpowered car trying  take  tesla",3,12,31,0,0,0,0,0,0,0,0,0,0
"156",2018-05-10," nhtsa   second federal agency  begin looking   fatal crash involving  tesla model s  fo lauderdale",2,6,6,1,0,0,2,0,2,1,0,2,1
"157",2018-05-10," new tesla video teases footage  factories employees   planned second generation roadster",3,3,10,0,0,0,0,1,0,0,1,0,1
"158",2017-03-09,"tesla  eventually become  next apple  amazon alliancebernstein predicts",6,19,30,0,0,0,0,0,0,0,0,0,0
"159",2018-05-10,"nhtsa joins ntsb  looking  fatal tesla crash  florida",2,1,1,1,0,0,2,0,2,1,0,2,0
"160",2018-05-10,"tesla video teases unnamed vehicle   sheet  new roadster accelerating",1,4,5,0,0,0,0,1,0,0,1,0,1
"161",2018-05-10,"panasonic executives repoedly cautious  future tesla commitments",1,5,3,0,1,0,1,0,0,0,1,0,1
"162",2018-05-10," analyst  elon musk cut    tesla earnings call  defending  questions",0,3,3,0,1,0,0,0,0,0,1,0,2
"163",2018-05-11,"bonehead investors  miss  big oppounity  betting  electric carmaker tesla  chief executive elon musk according  one brokerage firm",19,18,48,0,0,0,0,1,0,1,0,0,1
"164",2018-05-11,"tesla model 3 owners will soon  able  add  perks   cars now found   teslas higherend vehicles week",1,12,15,0,0,0,0,1,0,0,1,0,2
"165",2018-05-11,"tesla says top vehicle engineer doug field  taking time  amid model 3 production woes",0,2,7,0,3,0,0,0,0,0,1,0,3
"166",2018-05-11,"elon musk  big plans   new falcon 9 rocket  spacex just launched successfully",2,16,24,1,0,0,0,0,0,0,0,0,0
"167",2018-05-11,"read  full transcript  elon musks media call  spacexs new falcon 9 rocket",1,2,10,1,0,0,0,0,0,0,1,0,1
"168",2018-05-11,"even though tesla remains one    shoed stocks nomura instinet analysts believe  company  rally  $500 per share",1,8,11,0,1,1,1,1,0,0,2,2,2
"169",2017-03-09,"elon musks hyperloop vision takes  step closer  reality  firm reveals pictures  test track",4,45,47,0,2,0,0,0,0,0,0,0,1
"170",2018-05-11,"elon musks first boring tunnel  almost done  will offer free rides    months",1,15,39,0,0,0,0,0,0,0,0,1,1
"171",2018-05-11,"tesla teased  two new models   electric cars",0,20,30,0,0,0,0,1,0,1,0,0,1
"172",2018-05-11," makes elon musk  exceptional leader  ability   transparent funny  personally engaged  moving  teams forward",1,9,13,0,1,0,0,1,0,0,2,0,4
"173",2018-05-11,"dont   bonehead buy tesla shares analyst",5,6,32,0,1,0,0,0,0,0,1,0,1
"174",2018-05-12,"even though tesla remains one    shoed stocks nomura instinet analysts believe  company  rally  $500 per share",5,15,10,0,1,1,1,1,0,0,2,2,2
"175",2018-05-12,"tesla teased  two new models   electric cars",5,11,38,0,0,0,0,1,0,1,0,0,1
"176",2018-05-12,"bonehead investors  miss  big oppounity  betting  electric carmaker tesla  chief executive elon musk according  one brokerage firm",2,22,30,0,0,0,0,1,0,1,0,0,1
"177",2018-05-12,"even though tesla remains one    shoed stocks nomura instinet analysts believe  company  rally  $500 per share",5,15,20,0,1,1,1,1,0,0,2,2,2
"178",2018-05-12,"heres  elon musks big ambitions may  killing tesla",7,9,19,1,0,0,1,0,1,0,0,1,0
"179",2018-05-13," nearly  decade spacex evolved  falcon 9 rocket every launch trying  keep   lead designer elon musks relentless pursuit  innovation  now",1,9,28,1,1,0,0,0,0,0,0,0,4
"180",2017-03-10,"elon musk just offered  fix south australias energy problems   deal comes   twist",2,14,19,0,1,0,0,1,0,1,1,0,1
"181",2018-05-13,"bonehead investors  miss  big oppounity  betting  electric carmaker tesla  chief executive elon musk according  one brokerage firm",4,10,20,0,0,0,0,1,0,1,0,0,1
"182",2018-05-13,"although richard branson  elon musk  taken different paths  achieve success    mothers taught   crucial lesson  growing ",1,17,27,0,2,0,0,2,0,0,4,0,4
"183",2018-05-13,"tesla board members  facing shareholder scrutiny   company struggles  contain costs  ramping  production   model 3 electric sedans",2,6,8,0,2,0,0,1,0,1,0,1,3
"184",2018-05-13," nearly  decade spacex evolved  falcon 9 rocket every launch trying  keep   lead designer elon musks relentless pursuit  innovation  now",1,21,45,1,1,0,0,0,0,0,0,0,4
